placeid,placename,placepop1930,placepop2010,lat,lon
G08000760,Aguilar town,1383,538.0,37.40279309980092,-104.65331880052683
G08000925,Akron town,1135,1702.0,40.16053729985122,-103.21438430025357
G08001090,Alamosa city,5107,8780.0,37.46944910023781,-105.87002149948407
G08001530,Alma town,110,270.0,39.28387829987078,-106.06279669980697
G08002208,Animas City town,457,0.0,37.301031785599704,-107.86682692382779
G08002355,Antonito town,858,781.0,37.079179000281876,-106.00863289964536
G08003235,Arriba town,337,193.0,39.28609969976845,-103.27549549968086
G08003455,Arvada city,1276,106433.0,39.80276440042044,-105.08748419975593
G08003620,Aspen city,705,6658.0,39.191098300403496,-106.81753869954315
G08003950,Ault town,737,1519.0,40.58248040018677,-104.73191119944639
G08004000,Fletcher town,2295,325078.0,39.72943189963256,-104.83191949993684
G08004935,Basalt town,148,3857.0,39.36887309987448,-107.03282419988888
G08005265,Bayfield town,277,2333.0,37.22555930027495,-107.59811230015514
G08006090,Bennett town,211,2308.0,39.758873600316306,-104.42746100021107
G08006530,Bethune town,97,237.0,39.30416240010595,-102.42463949985161
G08007025,Black Hawk city,253,118.0,39.796932199737036,-105.49388529941237
G08007190,Blanca town,252,385.0,37.4380633002737,-105.51584599956135
G08007571,Bonanza town,445,16.0,38.29472160025321,-106.14224250007537
G08007850,Boulder city,11223,97385.0,40.01498560019351,-105.27054559968353
G08008345,Branson town,237,74.0,37.01752269992122,-103.88440829982248
G08008400,Breckenridge town,436,4540.0,39.48165369987768,-106.03835180046286
G08008675,Brighton city,3394,33352.0,39.98526169976095,-104.82052830001003
G08009115,Brookside town,198,233.0,38.41527649976888,-105.19193360030059
G08009555,Brush city,2312,5463.0,40.25886860034442,-103.62383669991145
G08010105,Buena Vista town,751,2617.0,38.842217800259064,-106.13112880014123
G08010600,Burlington city,1280,4254.0,39.30610820024102,-102.2693562998041
G08011260,Calhan town,399,780.0,39.035545900382076,-104.2971859996136
G08011810,Ca̱on City city,5938,16400.0,38.44098499991025,-105.242447000472
G08012045,Carbondale town,283,6427.0,39.40220539960163,-107.21116280021438
G08012415,Castle Rock town,478,48231.0,39.37221210005189,-104.85609020043887
G08012635,Cedaredge town,463,2253.0,38.901648699541454,-107.92645400041926
G08012855,Center town,1011,2230.0,37.7530562998066,-106.1086379002178
G08012910,Central City city,572,663.0,39.80193219976319,-105.5141639002699
G08013460,Cheraw town,293,252.0,38.10695149994212,-103.5102184001158
G08014175,Cheyenne Wells town,595,846.0,38.8213951001812,-102.35324349943959
G08015330,Coal Creek town,435,343.0,38.36111120047853,-105.14832219955134
G08015605,Collbran town,341,708.0,39.240534300146905,-107.96118079992942
G08016000,Colorado Springs city,33237,416427.0,38.83388160030559,-104.82136340057117
G08017375,Cortez city,921,8482.0,37.348882699823335,-108.58592649989903
G08017760,Craig city,1418,9464.0,40.5152491000384,-107.54645410027904
G08017925,Crawford town,157,431.0,38.70387669990242,-107.60894660045385
G08018310,Crested Butte town,1251,1487.0,38.869714599944444,-106.98782320020473
G08018420,Crestone town,86,127.0,37.9963880998003,-105.6997332004473
G08018530,Cripple Creek city,1427,1189.0,38.74665549984125,-105.17831490047408
G08018640,Crook town,251,110.0,40.85887989978649,-102.80102639991786
G08018750,Crowley town,323,176.0,38.193060699716675,-103.85606459986029
G08019080,Dacono city,275,4152.0,40.08470619970578,-104.9394215996116
G08019355,De Beque town,347,504.0,39.33442329960669,-108.21508160010318
G08019630,Deer Trail town,390,546.0,39.61498209997892,-104.0444033005284
G08019795,Del Norte town,1410,1686.0,37.67889189957279,-106.35336840046793
G08019850,Delta city,2938,8915.0,38.742206200306285,-108.06895819995476
G08020000,Denver city,287861,600158.0,39.73915359965694,-104.9847033997117
